"K","x","y","P","r","g","b"
26300,0.2507,0.2551,1.041e+17,0.3589,0.5288,1
26400,0.2506,0.255,1.047e+17,0.3586,0.5284,1
26500,0.2506,0.2549,1.053e+17,0.3582,0.5281,1
26600,0.2505,0.2548,1.06e+17,0.3578,0.5278,1
26700,0.2505,0.2548,1.066e+17,0.3575,0.5275,1
26800,0.2504,0.2547,1.072e+17,0.3571,0.5272,1
26900,0.2503,0.2546,1.078e+17,0.3567,0.5269,1
27000,0.2503,0.2546,1.085e+17,0.3564,0.5266,1
27100,0.2502,0.2545,1.091e+17,0.356,0.5263,1
27200,0.2502,0.2544,1.098e+17,0.3557,0.526,1
27300,0.2501,0.2544,1.104e+17,0.3553,0.5257,1
27400,0.2501,0.2543,1.11e+17,0.355,0.5255,1
27500,0.25,0.2542,1.117e+17,0.3546,0.5252,1
27600,0.25,0.2542,1.123e+17,0.3543,0.5249,1
27700,0.2499,0.2541,1.129e+17,0.354,0.5246,1
27800,0.2499,0.2541,1.136e+17,0.3536,0.5243,1
27900,0.2499,0.254,1.142e+17,0.3533,0.5241,1
28000,0.2498,0.2539,1.148e+17,0.353,0.5238,1
28100,0.2498,0.2539,1.155e+17,0.3527,0.5235,1
28200,0.2497,0.2538,1.161e+17,0.3524,0.5232,1
28300,0.2497,0.2537,1.168e+17,0.352,0.523,1
28400,0.2496,0.2537,1.174e+17,0.3517,0.5227,1
28500,0.2496,0.2536,1.18e+17,0.3514,0.5225,1
28600,0.2495,0.2536,1.187e+17,0.3511,0.5222,1
28700,0.2495,0.2535,1.193e+17,0.3508,0.5219,1
28800,0.2494,0.2534,1.199e+17,0.3505,0.5217,1
28900,0.2494,0.2534,1.206e+17,0.3502,0.5214,1
29000,0.2493,0.2533,1.212e+17,0.3499,0.5212,1
29100,0.2493,0.2533,1.219e+17,0.3496,0.5209,1
29200,0.2493,0.2532,1.225e+17,0.3493,0.5207,1
29300,0.2492,0.2532,1.232e+17,0.349,0.5204,1
29400,0.2492,0.2531,1.238e+17,0.3487,0.5202,1
29500,0.2491,0.253,1.244e+17,0.3485,0.52,1
29600,0.2491,0.253,1.251e+17,0.3482,0.5197,1
29700,0.249,0.2529,1.257e+17,0.3479,0.5195,1
29800,0.249,0.2529,1.264e+17,0.3476,0.5192,1
